,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
7297,Recurso,3AQP,367.84,365.2,377.96,359.48,351.56,361.24,358.16,358.6,360.8,363.88,128.04,,268.4,452.76,398.2,608.52,766.48,528.44,439.12,399.52,451.0,385.44,385.0,410.08,2024-11-20
7599,Recurso,3AQP,371.8,383.68,386.32,324.72,,707.96,827.64,726.44,714.56,645.48,582.12,550.88,524.04,615.56,524.04,494.56,579.92,507.32,476.52,487.52,501.16,531.08,441.76,424.6,2024-11-21
7902,Recurso,3AQP,425.04,472.56,466.84,463.76,477.84,660.0,680.68,533.28,487.08,518.76,542.96,145.64,295.24,503.36,438.68,483.12,497.2,502.92,534.16,535.48,476.08,474.76,471.68,470.8,2024-11-22
8204,Recurso,3AQP,476.08,476.52,488.4,504.68,513.04,563.64,614.68,619.52,629.64,634.48,638.44,635.36,570.68,547.36,602.36,526.68,527.56,567.16,498.08,528.88,513.48,493.24,488.4,488.84,2024-11-23
8505,Recurso,3AQP,494.12,500.72,508.2,508.2,542.08,537.68,444.84,480.48,510.4,518.32,509.08,465.52,513.04,518.32,461.56,,,,,,,,,,2024-11-24
45,Recurso,3AQP,320.32,298.32,314.6,278.96,307.12,308.44,299.2,300.08,301.4,71.28,305.8,401.72,334.84,312.4,313.28,318.56,321.2,317.68,246.4,288.64,295.24,277.2,286.44,286.0,2024-09-27
325,Recurso,3AQP,279.4,273.68,278.96,271.92,262.68,285.12,394.24,444.4,452.76,450.12,388.96,353.32,360.8,365.64,329.12,156.2,,226.6,616.44,721.16,436.92,441.76,372.68,348.92,2024-09-28
615,Recurso,3AQP,359.92,361.24,362.12,365.2,395.12,501.6,474.76,411.84,458.48,424.6,421.08,424.6,427.68,408.76,398.64,401.72,401.72,401.72,411.84,394.68,341.44,356.4,369.6,370.04,2024-09-29
909,Recurso,3AQP,370.92,371.8,371.8,371.36,370.92,375.32,386.76,388.52,388.08,392.92,400.84,279.4,413.6,420.64,417.12,573.76,681.56,513.48,359.48,398.64,421.08,421.08,381.04,371.36,2024-09-30
1203,Recurso,3AQP,360.36,342.76,342.76,328.68,330.44,337.04,342.76,323.4,329.56,344.52,355.96,367.4,377.52,339.68,286.0,340.12,355.96,364.76,337.48,315.48,335.72,338.8,337.04,335.28,2024-10-01
1499,Recurso,3AQP,330.0,314.16,295.68,260.48,308.0,344.08,309.32,332.64,325.6,331.76,345.4,358.6,329.12,331.32,344.52,310.2,337.48,323.4,326.92,322.96,315.92,322.52,335.72,498.96,2024-10-02
1789,Recurso,3AQP,502.48,313.72,313.72,764.72,533.72,590.04,379.72,505.56,399.96,410.52,412.28,417.12,376.2,381.48,352.44,394.24,341.88,355.96,343.64,342.76,335.28,336.6,336.16,336.16,2024-10-03
2084,Recurso,3AQP,335.72,322.96,318.12,322.08,327.8,328.24,326.48,309.32,310.64,312.4,315.48,315.48,335.28,344.96,376.64,381.48,379.72,376.64,363.44,342.76,350.24,362.12,361.24,356.4,2024-10-04
2377,Recurso,3AQP,309.32,294.36,296.12,297.44,359.92,396.0,292.16,336.6,296.56,324.72,325.6,327.36,329.12,328.68,329.56,334.4,334.4,333.52,337.92,337.48,343.2,318.56,289.52,293.92,2024-10-05
2665,Recurso,3AQP,299.64,307.12,314.16,312.84,300.08,293.04,432.96,483.56,442.2,355.96,333.52,326.48,319.44,274.56,351.12,350.24,349.36,348.04,311.96,318.56,307.12,307.12,308.88,309.32,2024-10-06
2956,Recurso,3AQP,308.0,302.28,288.2,278.52,272.8,261.36,299.64,312.84,273.24,310.2,327.8,337.48,321.64,309.32,331.76,276.76,305.36,317.24,339.24,351.12,203.72,302.28,264.44,286.0,2024-10-07
3247,Recurso,3AQP,290.84,275.0,262.24,190.08,301.84,314.16,264.88,267.08,253.88,61.16,305.36,348.48,312.4,350.68,791.12,517.0,,,432.96,619.96,657.36,675.84,601.48,452.76,2024-10-08
3538,Recurso,3AQP,456.28,458.92,452.76,366.08,368.72,418.44,439.56,383.68,396.0,415.8,347.6,,157.08,470.36,470.8,383.68,481.8,538.56,656.04,531.96,532.84,434.28,419.76,393.36,2024-10-09
3838,Recurso,3AQP,383.24,358.6,343.64,347.6,432.96,443.08,315.04,340.12,407.0,431.2,360.36,341.0,382.8,352.44,,0.44,681.12,645.48,537.24,482.24,467.72,442.2,440.44,434.28,2024-10-10
4138,Recurso,3AQP,391.16,375.76,385.88,390.28,391.16,418.0,419.76,91.96,315.04,428.56,428.56,427.68,425.92,434.28,351.56,422.84,391.16,349.36,347.16,350.24,352.44,353.32,354.64,354.2,2024-10-11
4434,Recurso,3AQP,109.12,365.2,363.44,362.56,361.68,361.24,360.8,359.48,351.12,346.72,354.2,335.72,377.52,392.48,403.92,398.64,366.08,345.84,341.0,341.44,343.2,341.88,340.56,337.92,2024-10-12
4727,Recurso,3AQP,336.16,328.24,319.44,317.24,315.48,330.44,333.08,308.0,311.52,240.68,343.64,337.48,340.56,349.8,348.92,345.84,322.96,327.8,327.36,327.8,334.84,333.96,322.96,317.24,2024-10-13
5022,Recurso,3AQP,322.08,324.72,323.4,306.68,302.28,311.52,310.2,311.96,263.12,374.88,289.08,299.64,308.44,320.76,321.2,321.64,329.56,336.6,335.28,333.96,333.96,340.12,335.28,334.4,2024-10-14
5321,Recurso,3AQP,334.4,333.96,333.08,314.16,295.68,327.36,372.68,426.8,423.72,421.52,346.72,374.44,388.96,322.52,315.04,316.8,324.28,324.28,323.84,377.52,328.68,262.24,293.48,301.84,2024-10-15
5614,Recurso,3AQP,309.32,309.32,309.32,308.0,308.44,320.32,382.8,294.8,333.08,306.68,321.2,350.24,352.88,317.68,319.88,320.76,321.64,322.96,325.16,252.12,,257.4,58.08,487.96,2024-10-16
5910,Recurso,3AQP,491.48,490.6,493.68,486.64,356.4,377.96,165.88,408.76,333.96,425.04,414.48,353.32,362.56,371.8,346.72,340.56,312.4,328.68,315.92,295.24,318.12,337.04,322.52,319.0,2024-10-17
6203,Recurso,3AQP,319.44,316.8,289.08,300.52,253.0,293.04,288.2,269.28,282.04,245.96,320.76,296.56,320.32,223.08,300.96,337.48,366.08,337.48,267.08,331.32,280.28,308.44,275.88,271.92,2024-10-18
6502,Recurso,3AQP,256.08,35.2,281.16,300.08,299.64,282.48,3.52,778.8,884.4,885.72,726.0,484.88,504.68,520.96,594.88,498.96,465.08,446.16,437.36,380.6,400.84,417.56,356.84,386.32,2024-10-19
6801,Recurso,3AQP,392.04,340.12,331.76,325.6,344.08,320.32,337.92,337.04,326.92,332.2,344.08,357.28,358.16,357.28,336.6,347.16,337.92,242.88,348.04,356.4,334.84,311.52,308.88,297.0,2024-10-20
7099,Recurso,3AQP,317.68,296.56,283.8,282.04,308.44,289.08,280.72,276.32,300.96,309.76,333.96,311.08,405.24,326.48,388.08,408.76,369.6,307.12,356.84,307.56,297.88,342.76,300.08,313.28,2024-10-21
7393,Recurso,3AQP,295.68,306.68,321.2,217.8,177.76,698.28,615.12,492.8,523.16,477.84,400.84,376.2,516.56,366.08,425.48,457.6,480.92,696.52,753.72,632.28,560.56,516.12,493.68,448.8,2024-10-22
7693,Recurso,3AQP,417.12,421.96,439.56,378.84,393.36,413.6,316.8,405.68,387.64,269.28,371.8,406.56,421.96,421.52,316.8,232.76,747.56,448.36,282.48,740.52,744.92,604.56,628.76,625.68,2024-10-23
7989,Recurso,3AQP,515.24,478.28,477.4,477.84,486.2,548.24,506.44,461.12,472.12,493.68,496.76,496.76,462.88,452.32,452.76,219.12,315.48,390.28,463.32,557.92,450.12,415.8,431.64,420.64,2024-10-24
8282,Recurso,3AQP,418.88,367.4,384.12,383.24,384.56,392.04,359.92,370.04,232.76,303.6,406.12,409.64,411.4,356.84,361.68,259.6,339.68,392.04,403.04,404.8,343.64,389.84,371.36,359.04,2024-10-25
8585,Recurso,3AQP,359.92,359.92,359.92,359.48,360.36,378.84,329.56,371.36,324.28,366.96,351.56,396.44,414.92,407.44,359.04,370.48,374.88,349.8,352.0,351.12,350.24,349.8,334.4,314.6,2024-10-26
49,Recurso,3AQP,601.48,568.04,564.96,567.6,558.8,545.6,561.44,572.88,587.84,596.64,605.44,623.92,600.16,588.28,553.96,546.04,549.56,590.48,589.16,587.84,587.4,583.0,560.56,334.84,2024-08-28
328,Recurso,3AQP,187.0,19.36,,,,,,,,39.16,578.6,634.48,651.2,668.36,748.0,696.08,714.56,725.56,727.76,722.92,642.4,641.96,643.72,645.04,2024-08-29
602,Recurso,3AQP,644.6,645.48,645.92,645.04,645.04,647.68,671.44,679.36,680.68,680.68,681.12,550.44,242.44,300.96,2.2,,,671.44,580.36,584.76,572.88,567.16,578.6,554.4,2024-08-30
